symbol,factor,regime,beta_high,beta_low,diff,t_diff,n_high,n_low
AAOI,usd_strength,Rates,1.8942,-1.1457,3.0399,2.3728,156,146
AAOI,usd_strength,Bull-Bear,-0.7346,1.9100,-2.6447,-5.4385,2007,531
AAOI,volatility,VIX,0.0320,-0.0782,0.1103,2.1840,377,1263
AAOI,volatility,Rates,0.0575,0.0118,0.0457,0.3948,156,146
AAOI,volatility,Bull-Bear,-0.0949,-0.0305,-0.0643,-1.3134,2007,531
AAOI,momentum,VIX,0.5395,0.9083,-0.3688,-0.6473,377,1251
AAOI,momentum,Rates,-1.8395,-0.8410,-0.9984,-0.8111,156,146
AAOI,momentum,Bull-Bear,0.8620,0.8796,-0.0176,-0.0376,1997,531
AAOI,quality,VIX,-1.6527,0.1262,-1.7789,-1.3036,377,1251
AAOI,quality,Rates,-3.3336,-5.2197,1.8861,0.6112,156,146
AAOI,quality,Bull-Bear,-0.1728,-1.8573,1.6845,1.4895,1997,531
AAOI,value,VIX,-0.4399,0.4726,-0.9125,-1.1699,377,1251
AAOI,value,Rates,-0.3436,-1.6090,1.2654,0.7093,156,146
AAOI,value,Bull-Bear,-1.1011,-1.9238,0.8228,1.2682,1997,531
AAOI,biotech,VIX,0.2010,0.1397,0.0613,0.2145,377,1251
AAOI,biotech,Rates,0.1468,0.4715,-0.3246,-0.4339,156,146
AAOI,biotech,Bull-Bear,0.2331,0.3311,-0.0980,-0.4314,1997,531
AAOI,defense,VIX,-0.0188,0.7386,-0.7574,-2.1249,377,1251
AAOI,defense,Rates,0.1587,-0.4555,0.6142,0.6472,156,146
AAOI,defense,Bull-Bear,0.3552,-0.0145,0.3697,1.2362,1997,531
AAOI,growth,VIX,2.8653,2.5808,0.2845,0.1829,377,1251
AAOI,growth,Rates,3.1672,3.3957,-0.2285,-0.0654,156,146
AAOI,growth,Bull-Bear,4.0793,3.8167,0.2626,0.2056,1997,531
AAOI,lithium,VIX,0.1627,0.3311,-0.1684,-0.7322,377,1251
AAOI,lithium,Rates,-0.1335,1.2017,-1.3352,-2.3625,156,146
AAOI,lithium,Bull-Bear,0.4098,0.1823,0.2276,1.0561,1997,531
AAOI,semiconductors,VIX,0.7965,0.8885,-0.0921,-0.3185,377,1251
AAOI,semiconductors,Rates,0.8593,1.0682,-0.2089,-0.3034,156,146
AAOI,semiconductors,Bull-Bear,1.0984,0.8128,0.2856,1.2323,1997,531
AAOI,uranium,VIX,0.3280,0.1372,0.1908,1.0139,377,1251
AAOI,uranium,Rates,0.4526,0.5484,-0.0958,-0.2340,156,146
AAOI,uranium,Bull-Bear,0.2817,0.5048,-0.2231,-1.4041,1997,531
AAOI,xl_consumer_defensive,VIX,-0.9353,-1.0306,0.0953,0.2031,377,1251
AAOI,xl_consumer_defensive,Rates,-1.0373,-3.5417,2.5044,2.2892,156,146
AAOI,xl_consumer_defensive,Bull-Bear,-1.7632,-1.8678,0.1046,0.2742,1997,531
AAOI,xl_financials,VIX,0.5439,-0.5734,1.1173,1.8226,377,1251
AAOI,xl_financials,Rates,0.5893,0.8057,-0.2165,-0.1408,156,146
AAOI,xl_financials,Bull-Bear,-0.1323,0.1138,-0.2461,-0.4712,1997,531
AAOI,xl_healthcare,VIX,-1.1562,-1.0792,-0.0770,-0.1534,377,1251
AAOI,xl_healthcare,Rates,-1.8105,-2.4617,0.6513,0.5385,156,146
AAOI,xl_healthcare,Bull-Bear,-1.1059,-1.6005,0.4946,1.2314,1997,531
AAOI,xl_industrials,VIX,-0.5016,1.1315,-1.6331,-2.4807,377,1251
AAOI,xl_industrials,Rates,-0.4397,-1.2346,0.7948,0.4247,156,146
AAOI,xl_industrials,Bull-Bear,0.4502,0.2058,0.2444,0.4413,1997,531
AAOI,xl_real_estate,VIX,-0.2735,-0.1117,-0.1619,-0.4013,361,929
AAOI,xl_real_estate,Rates,-0.7316,-0.2136,-0.5180,-0.5986,139,128
AAOI,xl_real_estate,Bull-Bear,-0.3072,-0.6865,0.3793,1.1678,1713,483
AAOI,xl_utilities,VIX,-0.6631,-0.4309,-0.2322,-0.7122,377,1251
AAOI,xl_utilities,Rates,-0.6276,-1.0846,0.4569,0.6075,156,146
AAOI,xl_utilities,Bull-Bear,-0.5984,-0.8935,0.2951,1.0675,1997,531
AAOI,china_a_shares,VIX,-0.2030,-0.1812,-0.0217,-0.0768,361,929
AAOI,china_a_shares,Rates,0.2366,-0.3425,0.5791,0.7741,139,128
AAOI,china_a_shares,Bull-Bear,-0.1561,0.0258,-0.1819,-0.8662,1713,483
AAOI,china_exposure,VIX,-0.0395,-0.3423,0.3028,1.1552,361,929
AAOI,china_exposure,Rates,0.3428,-0.8100,1.1527,1.8653,139,128
AAOI,china_exposure,Bull-Bear,-0.3322,0.2131,-0.5453,-2.6493,1713,483
AAON,market_beta,VIX,1.0532,1.4300,-0.3768,-4.2158,866,1983
AAON,market_beta,Rates,0.9528,0.9322,0.0207,0.1689,264,264
AAON,market_beta,Bull-Bear,1.2526,1.1059,0.1466,2.4423,3147,1116
AAON,copper,VIX,-0.1784,0.0421,-0.2205,-2.2641,401,1429
