symbol,n_snapshots,r2_direct,r2_+statistical,r2_total,marginal_statistical,marginal_derived,derived_share
OCGN,74,0.0924,0.1055,0.1596,0.0132,0.0540,0.3386
FENC,64,0.0922,0.1035,0.1452,0.0113,0.0417,0.2871
MNR,2,0.0921,0.0995,0.0846,0.0074,-0.0150,-0.1770
GOLD,74,0.0920,0.1014,0.1340,0.0094,0.0326,0.2432
IVVD,17,0.0919,0.0951,0.1760,0.0032,0.0809,0.4595
KVUE,2,0.0917,0.1453,0.2403,0.0536,0.0950,0.3953
SNDA,74,0.0907,0.1047,0.1435,0.0140,0.0387,0.2701
CRCT,22,0.0906,0.1130,0.1480,0.0225,0.0350,0.2364
QUIK,74,0.0904,0.1119,0.1636,0.0215,0.0517,0.3160
MIRM,42,0.0899,0.1019,0.2129,0.0120,0.1110,0.5214
PRTH,73,0.0898,0.1017,0.1294,0.0118,0.0278,0.2146
APGE,2,0.0887,0.0934,0.2039,0.0046,0.1106,0.5422
PDYN,16,0.0884,0.1056,0.1361,0.0172,0.0306,0.2245
STTK,27,0.0874,0.1131,0.1905,0.0257,0.0775,0.4067
NRGV,22,0.0872,0.0954,0.1360,0.0082,0.0407,0.2989
MSBIP,5,0.0871,0.0930,0.1155,0.0059,0.0224,0.1944
WLYB,74,0.0868,0.0993,0.1259,0.0125,0.0267,0.2117
AMLX,12,0.0863,0.0930,0.1920,0.0067,0.0990,0.5157
LTBR,74,0.0861,0.0991,0.1657,0.0130,0.0666,0.4021
DBD,2,0.0861,0.0912,0.0984,0.0051,0.0072,0.0736
BRBS,74,0.0860,0.0918,0.1170,0.0057,0.0252,0.2153
GNE,74,0.0858,0.1093,0.1370,0.0235,0.0277,0.2024
SCCF,8,0.0857,0.0889,0.1133,0.0032,0.0245,0.2158
CPB,74,0.0854,0.1391,0.3339,0.0536,0.1949,0.5836
MCI,74,0.0853,0.0910,0.1027,0.0057,0.0117,0.1139
SWBI,74,0.0852,0.0998,0.1307,0.0146,0.0309,0.2364
XFOR,62,0.0851,0.0977,0.1591,0.0126,0.0614,0.3861
OMER,74,0.0849,0.0942,0.1786,0.0093,0.0843,0.4722
RUM,21,0.0849,0.0868,0.1275,0.0019,0.0407,0.3191
CTEV,33,0.0848,0.1048,0.1358,0.0200,0.0310,0.2282
CXDO,58,0.0847,0.0902,0.1073,0.0055,0.0170,0.1589
VLGEA,74,0.0847,0.1138,0.1432,0.0291,0.0294,0.2052
CLMB,74,0.0840,0.0896,0.1048,0.0056,0.0152,0.1447
SKWD,2,0.0839,0.1198,0.1623,0.0359,0.0424,0.2615
ABTC,59,0.0838,0.0971,0.1293,0.0133,0.0322,0.2490
AVBH,74,0.0830,0.0886,0.0894,0.0056,0.0008,0.0092
REGCO,2,0.0829,0.0928,0.0632,0.0099,-0.0295,-0.4672
OVID,68,0.0828,0.0920,0.1634,0.0092,0.0714,0.4372
KR,74,0.0827,0.1022,0.2256,0.0194,0.1234,0.5471
IMRX,17,0.0826,0.0877,0.1293,0.0051,0.0417,0.3222
FCCO,74,0.0825,0.1058,0.1304,0.0233,0.0246,0.1889
GOODO,19,0.0819,0.0974,0.1180,0.0155,0.0206,0.1745
PLSE,74,0.0816,0.0939,0.1282,0.0124,0.0343,0.2673
PCVX,31,0.0814,0.1144,0.2373,0.0330,0.1229,0.5179
